Name,Disabled,Locked,Fuel Incentive,Location ID,Card IDs,Address,City,ST,Postal Code,EW Hwy,EW Exit,NS Hwy,NS Exit,Retail Price,Retail Date,Rack Price,Freight,State Tax,Fed Tax,Est Cost,Spread,OOR Range,OOR Fill,Min Pur,Min Pur Type,Stop Type,Swap Type,Rack ID,Latitude,Longitude,Trimble_POI_Name,Contain,Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode,Heartland,TM,Delta Between Trimble MAPS POI and Heartland Coordinates
Pilot TC #444                 ,      No,    No,0,516297,IN788                                                  ,4376 N State Road 59          ,Brazil         ,IN,47834,I0070  ,23,       ,    ,3.099,8/16/2019,1.8374,0.0475,0.5,0.244,2.6289,0.47,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.4525,87.1261, @Pilot Travel Center #444, True,4424 IN-59,Brazil,IN,47834,"39.4525,-87.1261","39.451576,-87.124309",0.115
Flying J #611                 ,      No,    No,0,231822,AZ292                                                  ,6700 West Latham              ,Phoenix        ,AZ,85043,I0010  ,137,       ,    ,3.159,8/16/2019,2.0767,0.03,0.27,0.244,2.6207,0.538,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,33.4602,112.2036, NOT FOUND, False,6600 West Latham Street,Phoenix,AZ,85043,"33.4602,-112.2036","33.460873,-112.2054",0.114
Flying J #708                 ,      No,    No,0,231060,PA242                                                  ,1501 Harrisburg Pike          ,Carlisle       ,PA,17015,I0076  ,226,I0081  ,52,3.459,8/16/2019,1.8788,0.035,0.741,0.244,2.8988,0.56,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.2342,77.1238, NOT FOUND, False,1649 Harrisburg Pike  (US-11),Carlisle,PA,17015,"40.2342,-77.1238","40.235193,-77.122071",0.114
Love's #669                   ,      No,    No,0,524262,MO441                                                  ,17550 Highway 19              ,New London     ,MO,63459,       ,    ,U0061  ,    ,2.849,8/16/2019,1.8896,0.031,0.1742,0.244,2.3388,0.51,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.5729,91.4056, NOT FOUND, False,MO-19,New London,MO,63459,"39.5729,-91.4056","39.574256,-91.404363",0.114
Flying J #709                 ,      No,    No,0,231862,PA245                                                  ,5609 Nittany Valley Dr        ,Mill Hall      ,PA,17751,I0080  ,173,       ,    ,3.559,8/16/2019,1.8803,0.0488,0.741,0.244,2.9141,0.645,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.0263,77.5233, NOT FOUND, False,1080 Dotterers Road  (PA-2003),Mill Hall,PA,17751,"41.0263,-77.5233","41.027928,-77.523125",0.113
Love's #356                   ,      No,    No,0,516639,OH516                                                  ,13190 Deshler Rd              ,North Baltimore,OH,45872,       ,    ,I0075  ,167,2.949,8/16/2019,1.8466,0.032,0.4822,0.244,2.6048,0.344,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.1728,83.6536, NOT FOUND, False,13146 Deshler Road  (OH-18),North Baltimore,OH,45872,"41.1728,-83.6536","41.173617,-83.651716",0.113
Pilot TC #405                 ,      No,    No,0,516265,TN743                                                  ,4949 Lamar Ave                ,Memphis        ,TN,38118,U0078  ,    ,       ,    ,2.959,8/16/2019,1.8947,0.032,0.284,0.244,2.4547,0.504,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.0209,89.8986, NOT FOUND, False,"4961 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118,"35.0209,-89.8986","35.019285,-89.898258",0.113
Flying J #693                 ,      No,    No,0,231804,NY223                                                  ,8484 Allegheny Road           ,Pembroke       ,NY,14036,I0090  ,48A ,       ,    ,3.259,8/16/2019,1.9741,0.0396,0.4196,0.244,2.6773,0.582,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,42.9993,78.4061, NOT FOUND, False,8484 Alleghany Road  (NY-77),Corfu,NY,14036,"42.9993,-78.4061","43.000805,-78.40692",0.112
Flying J #741                 ,      No,    No,0,231875,XT339                                                  ,2311 Old Jacksboro Hwy        ,Wichita Falls  ,TX,76302,       ,    ,U0287  ,    ,2.879,8/16/2019,1.9488,0.027,0.2009,0.244,2.4207,0.458,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,33.8923,98.4838, NOT FOUND, False,2299 Old Jacksboro Highway  (Loop TX-473),Wichita Falls,TX,76301,"33.8923,-98.4838","33.89083,-98.482974",0.112
Love's #281                   ,      No,    No,0,516573,XT805                                                  ,200 Garden Acres Dr           ,Fort Worth     ,TX,76140,       ,    ,I0035  ,40,2.649,8/16/2019,1.9001,0.04,0.2007,0.244,2.3848,0.264,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.5991,97.3159, NOT FOUND, False,288 Garden Acres Drive,Fort Worth,TX,76140,"32.5991,-97.3159","32.598393,-97.317642",0.112
Love's #463                   ,      No,    No,0,518130,XT216                                                  ,3158 West Ih-10               ,Seguin         ,TX,78155,I0010  ,604,       ,    ,2.849,8/16/2019,1.9052,0.032,0.2007,0.244,2.3819,0.467,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,29.5608,98.0345, @Love's #463, True,Frontage Road  (I-10 Service West),Seguin,TX,78155,"29.5608,-98.0345","29.562393,-98.034849",0.112
Pilot TC #58                  ,      No,    No,0,516017,NC761                                                  ,2032 NC 48 Hwy                ,Pleasant Hill  ,NC,27866,S0048  ,    ,I0095  ,180,3.099,8/16/2019,1.8678,0.0602,0.3645,0.244,2.5365,0.563,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.5234,77.5893, NOT FOUND, False,1978 NC-48,Pleasant Hill,NC,27866,"36.5234,-77.5893","36.523299,-77.587281",0.112
Flying J #646                 ,      No,    No,0,231830,IL238                                                  ,16049 Willowbrook Rd          ,South Beloit   ,IL,61080,I0090  ,1,U0075  ,    ,3.099,8/16/2019,1.8174,0.036,0.6189,0.244,2.7163,0.383,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,42.4928,89, @Flying J #646, True,15929 Willowbrook Road,South Beloit,IL,61080,"42.4928,-89","42.494161,-88.998844",0.111
Love's #608                   ,      No,    No,0,522246,KS299                                                  ,2400 E Kansas Ave             ,McPherson      ,KS,67460,       ,    ,I0135  ,60,2.789,8/16/2019,1.8352,0.038,0.2603,0.244,2.3775,0.411,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.3708,97.6176, NOT FOUND, False,East Kansas Avenue  (US-56),McPherson,KS,67460,"38.3708,-97.6176","38.370127,-97.615745",0.111
Love's #702                   ,      No,    No,0,526836,IA525                                                  ,3301 Greyhound Dr             ,Waterloo       ,IA,50701,U0020  ,    ,       ,    ,2.789,8/16/2019,1.8704,0.0276,0.325,0.244,2.467,0.322,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,42.4606,92.4042, NOT FOUND, False,5821 Greyhound Drive,Waterloo,IA,50701,"42.4606,-92.4042","42.462182,-92.403814",0.111
Love's #724                   ,      No,    No,0,527312,FL008                                                  ,13700 US -441                 ,Lake City      ,FL,32025,       ,    ,I0075  ,414,3.049,8/16/2019,1.8995,0.0715,0.3497,0.244,2.5647,0.484,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.0027,82.5973, NOT FOUND, False,"13703 US-41, South US-441, FL-25",Lake City,FL,32025,"30.0027,-82.5973","30.002108,-82.599025",0.111
Flying J #913                 ,      No,    No,0,516361,IA077                                                  ,3231 Adventureland Dr         ,Altoona        ,IA,50009,I0080  ,142,U0065  ,    ,2.859,8/16/2019,1.8698,0.023,0.325,0.244,2.4618,0.397,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.6586,93.4993, NOT FOUND, False,3231 Adventureland Drive,Altoona,IA,50009,"41.6586,-93.4993","41.66001,-93.500274",0.11
Love's #628                   ,      No,    No,0,522816,TE243                                                  ,1021 Dale Evans Dr            ,Italy          ,TX,76651,       ,    ,I0035  ,386,2.749,8/16/2019,1.9001,0.037,0.2007,0.244,2.3818,0.367,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.195,96.898, NOT FOUND, False,1020 Dale Evans Drive  (TX-34),Italy,TX,76651,"32.195,-96.898","32.193553,-96.898784",0.11
Pilot TC #219                 ,      No,    No,0,516113,TN121                                                  ,7210 Strawberry Plains Pike   ,Knoxville      ,TN,37914,I0040  ,398,       ,    ,2.859,8/16/2019,1.8667,0.0256,0.284,0.244,2.4203,0.439,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.999,83.7795, NOT FOUND, False,7200 Strawberry Plains Pike,Knoxville,TN,37914,"35.999,-83.7795","35.999193,-83.777554",0.11
Pilot TC #4566                ,      No,    No,0,524094,SC166                                                  ,2768 E Cherokee St            ,Blacksburg     ,SC,29702,       ,    ,I0085  ,106,2.659,8/16/2019,1.8602,0.0285,0.2275,0.244,2.3602,0.299,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.1676,81.4509, NOT FOUND, False,East Cherokee Street  (US-29),Blacksburg,SC,29702,"35.1676,-81.4509","35.166002,-81.450975",0.11
Flying J #653                 ,      No,    No,0,231849,IN238                                                  ,3231 East 181st Street        ,Hebron         ,IN,46341,S0002  ,    ,I0065  ,240,3.159,8/16/2019,1.8155,0.0375,0.5,0.244,2.597,0.562,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.2892,87.2954, NOT FOUND, False,4029 East 181st Avenue  (IN-2),Hebron,IN,46341,"41.2892,-87.2954","41.287723,-87.294659",0.109
Flying J #694                 ,      No,    No,0,231827,OH224                                                  ,2349 Center Road              ,Austinburg     ,OH,44010,I0090  ,223,S0045  ,    ,3.259,8/16/2019,1.8497,0.0503,0.4822,0.244,2.6262,0.633,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.7886,80.8551, NOT FOUND, False,2271 Center Road  (OH-45),Austinburg,OH,44010,"41.7886,-80.8551","41.790072,-80.85585",0.109
Flying J #746                 ,      No,    No,0,231001,UT746                                                  ,850 2100 S                    ,Salt Lake City ,UT,84104,I0080  ,305,I0015  ,305,3.039,8/16/2019,2.09,0.0263,0.3065,0.244,2.6668,0.372,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.7261,111.9145, @Flying J #746, True,764 West 2100 South  (UT-201),Salt Lake City,UT,84119,"40.7261,-111.9145","40.727194,-111.916008",0.109
Love's #686                   ,      No,    No,0,524424,UT213                                                  ,20 South 1550 West St         ,Brigham City   ,UT,84302,       ,    ,I0015  ,363,2.989,8/16/2019,2.09,0.0372,0.3065,0.244,2.6777,0.311,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.5089,112.0526, NOT FOUND, False,61 1550 West,Brigham City,UT,84302,"41.5089,-112.0526","41.509014,-112.054693",0.109
Pilot TC #439                 ,      No,    No,0,516292,KY438                                                  ,12900 Fort Campbell Blvd      ,Oak Grove      ,KY,42262,I0024  ,86,U0041  ,    ,2.999,8/16/2019,1.8701,0.0535,0.2305,0.244,2.3981,0.601,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.6932,87.4528, NOT FOUND, False,12882 Fort Campbell Boulevard  (US-41 Alternate),Oak Grove,KY,42262,"36.6932,-87.4528","36.692481,-87.451042",0.109
Love's #604                   ,      No,    No,0,522960,OK948                                                  ,2700 E Highway 33             ,Guthrie        ,OK,73044,       ,    ,I0035  ,157,2.689,8/16/2019,1.8557,0.03,0.2,0.244,2.3297,0.359,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.8788,97.3921, @Love's #604, True,OK-33,Guthrie,OK,73044,"35.8788,-97.3921","35.880333,-97.391723",0.108
Pilot TC #40                  ,      No,    No,0,516002,WI572                                                  ,2031 West Ryan Road           ,Oak Creek      ,WI,53154,I0094  ,322,       ,    ,2.979,8/16/2019,1.8316,0.0298,0.329,0.244,2.4344,0.545,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,42.8724,87.9427, @Pilot Travel Center #40, True,2015 West Ryan Road  (WI-100),Oak Creek,WI,53154,"42.8724,-87.9427","42.871496,-87.94443",0.108
Pilot TC #435                 ,      No,    No,0,516288,TX996                                                  ,2015 Antonio St               ,Anthony        ,TX,79821,I0010  ,0,       ,    ,3.039,8/16/2019,2.0821,0.0123,0.2009,0.244,2.5393,0.5,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.9975,106.5852, NOT FOUND, False,2066 Antonio Street  (FM Route 1905),Anthony,TX,79821,"31.9975,-106.5852","31.996671,-106.586754",0.108
Flying J #706                 ,      No,    No,0,231821,OK230                                                  ,27 N 129th East Ave           ,Tulsa          ,OK,74116,I0044  ,236,       ,    ,2.639,8/16/2019,1.8422,0.05,0.2,0.244,2.3362,0.303,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.1612,95.8331, @Flying J #706, True,83 North 129th East Avenue,Tulsa,OK,74116,"36.1612,-95.8331","36.162635,-95.832356",0.107
Love's #247                   ,      No,    No,0,516770,XT892                                                  ,219 S Boykin Dr               ,Memphis        ,TX,79245,       ,    ,U0287  ,    ,2.869,8/16/2019,1.9494,0.0305,0.2007,0.244,2.4246,0.444,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.7247,100.5343, NOT FOUND, False,Boykin Drive  (US-287),Memphis,TX,79245,"34.7247,-100.5343","34.723155,-100.53425",0.107
Love's #326                   ,      No,    No,0,516613,SC572                                                  ,3205 Five Chop Road           ,Orangeburg     ,SC,29115,I0026  ,154,U0301  ,    ,2.799,8/16/2019,1.8799,0.033,0.2275,0.244,2.3844,0.415,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,33.4572,80.7367, NOT FOUND, False,3103 Five Chop Road  (US-301),Orangeburg,SC,29115,"33.4572,-80.7367","33.458394,-80.735521",0.107
Love's #636                   ,      No,    No,0,523134,OK705                                                  ,106 Airport Drive             ,Nowata         ,OK,74048,       ,    ,U0169  ,    ,2.629,8/16/2019,1.8557,0.0698,0.2,0.244,2.3695,0.26,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.7198,95.6302, NOT FOUND, False,US-169,Nowata,OK,74048,"36.7198,-95.6302","36.719624,-95.628271",0.107
Love's #664                   ,      No,    No,0,523999,IN137                                                  ,1730 E Harlan Dr              ,Terre Haute    ,IN,47802,       ,    ,U0041  ,    ,3.049,8/16/2019,1.819,0.0445,0.5,0.244,2.6075,0.442,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.3469,87.3925, NOT FOUND, False,1524 East Harlan Drive,Terre Haute,IN,47802,"39.3469,-87.3925","39.34774,-87.39082",0.107
Pilot TC #1006                ,      No,    No,0,521838,TE118                                                  ,2342 N Main St                ,Junction       ,TX,76849,I0010  ,456,U0377  ,    ,2.859,8/16/2019,1.8857,0.0738,0.2009,0.244,2.4044,0.455,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.5044,99.7781, NOT FOUND, False,"North Main Street  (US-377, Loop TX-481)",Junction,TX,76849,"30.5044,-99.7781","30.505539,-99.776878",0.107
Pilot TC #472                 ,      No,    No,0,522244,TE182                                                  ,525 South 1st Street          ,Beasley        ,TX,77417,       ,    ,U0059  ,    ,2.699,8/16/2019,1.8856,0.0497,0.2009,0.244,2.3802,0.319,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,29.4946,95.9121, @786 Truck Stop, True,South 1st Street,Beasley,TX,77417,"29.4946,-95.9121","29.495896,-95.911113",0.107
Pilot TC #581                 ,      No,    No,0,518131,MN552                                                  ,11650 Courthouse Blvd         ,Inver Grove Hei,MN,55077,I0494  ,99AB,U0055  ,    ,2.899,8/16/2019,1.9687,0.0446,0.306,0.244,2.5633,0.336,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,44.7793,93.0335, @Pilot Travel Center #581, True,11568 Courthouse Boulevard,Inver Grove Heights,MN,55077,"44.7793,-93.0335","44.780836,-93.033287",0.107
Pilot TC #75                  ,      No,    No,0,516031,AL840                                                  ,6109 Highway 43               ,Satsuma        ,AL,36572,       ,    ,I0065  ,19,2.959,8/16/2019,1.8672,0.0335,0.2775,0.244,2.4222,0.537,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.8715,88.046, NOT FOUND, False,"US-43, AL-13",Satsuma,AL,36572,"30.8715,-88.046","30.872861,-88.046869",0.107
Flying J #735                 ,      No,    No,0,231009,XT309                                                  ,7112 Interstate 10 W          ,Orange         ,TX,77632,I0010  ,873,       ,    ,2.859,8/16/2019,1.8917,0.0333,0.2009,0.244,2.3699,0.489,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.1162,93.8215, NOT FOUND, False,7120 Service Road  (I-10 Service West),Orange,TX,77632,"30.1162,-93.8215","30.117011,-93.819991",0.106
Love's #220                   ,      No,    No,0,516522,WY368                                                  ,3305 W. College Dr            ,Cheyenne       ,WY,82007,I0080  ,359,I0025  ,7,2.889,8/16/2019,2.0747,0.0188,0.24,0.244,2.5775,0.312,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.0993,104.8487, NOT FOUND, False,"West College Drive  (US-87 Business, WY-212, I-25 Business)",Cheyenne,WY,82007,"41.0993,-104.8487","41.097761,-104.848692",0.106
Love's #341                   ,      No,    No,0,516627,MO927                                                  ,3500 Hypoint Blvd             ,Rolla          ,MO,65401,I0044  ,189,       ,    ,2.889,8/16/2019,1.8453,0.0303,0.1742,0.244,2.2938,0.595,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.9821,91.7209, @Love's #341, True,Hy Point Boulevard,Rolla,MO,65401,"37.9821,-91.7209","37.981864,-91.718967",0.106
Pilot TC #200                 ,      No,    No,0,516101,CA176                                                  ,5725 Hwy 58                   ,Boron          ,CA,93516,S0058  ,    ,U0395  ,    ,3.899,8/16/2019,2.2661,0.0558,0.7311,0.244,3.297,0.602,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.9924,117.5415, NOT FOUND, False,5852 Barstow-Bakersfield Highway  (CA-58),Boron,CA,93516,"34.9924,-117.5415","34.991618,-117.543104",0.106
Pilot TC #310                 ,      No,    No,0,516187,SC240                                                  ,1405 E Main St                ,Duncan         ,SC,29334,S0290  ,    ,I0085  ,63,2.739,8/16/2019,1.8602,0.035,0.2275,0.244,2.3667,0.372,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.916,82.1096, NOT FOUND, False,1399 East Main Street  (SC-290),Duncan,SC,29334,"34.916,-82.1096","34.91572,-82.107752",0.106
Flying J #658                 ,      No,    No,0,231812,KS224                                                  ,4245 West Highway 50          ,Emporia        ,KS,66801,U0050  ,    ,I0035  ,128,2.899,8/16/2019,1.8493,0.0621,0.2603,0.244,2.4157,0.483,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.4121,96.236, NOT FOUND, False,4117 US-50,Emporia,KS,66801,"38.4121,-96.236","38.41144,-96.237746",0.105
Love's #344                   ,      No,    No,0,516629,TN296                                                  ,3371 Lamar Ave                ,Memphis        ,TN,38118,U0078  ,    ,       ,    ,2.949,8/16/2019,1.8947,0.031,0.284,0.244,2.4537,0.495,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.0749,89.9494, NOT FOUND, False,"3445 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118,"35.0749,-89.9494","35.07475,-89.951257",0.105
Love's #346                   ,      No,    No,0,516631,TN975                                                  ,1624 Bear Creek Pike          ,Columbia       ,TN,38401,       ,    ,I0065  ,46,2.949,8/16/2019,1.8701,0.035,0.284,0.244,2.4331,0.516,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.6432,86.8906, NOT FOUND, False,1626 Bear Creek Pike  (TN-99),Columbia,TN,38401,"35.6432,-86.8906","35.644472,-86.891638",0.105
Love's #523                   ,      No,    No,0,520864,LA007                                                  ,126 Lexington Drive           ,Duson          ,LA,70578,I0010  ,92,       ,    ,2.849,8/16/2019,1.8526,0.0425,0.2013,0.244,2.3404,0.509,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.2527,92.1939, NOT FOUND, False,115 Lexington Drive,Rayne,LA,70578,"30.2527,-92.1939","30.251842,-92.195357",0.105
Love's #654                   ,      No,    No,0,522961,OK946                                                  ,21000 SW 59th St              ,Union City     ,OK,73090,       ,    ,U0081  ,    ,2.749,8/16/2019,1.8516,0.0475,0.2,0.244,2.3431,0.406,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.4064,97.9397, NOT FOUND, False,21400 Southwest 59th Street,Union City,OK,73090,"35.4064,-97.9397","35.40538,-97.938311",0.105
Pilot TC #151                 ,      No,    No,0,516074,WA961                                                  ,2430 93rd Ave Sw              ,Tumwater       ,WA,98512,       ,    ,I0005  ,99,3.259,8/16/2019,1.9472,0.0339,0.5212,0.244,2.7463,0.513,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.9529,122.9341, NOT FOUND, False,2412 93rd Avenue Southwest  (WA-121),Olympia,WA,98512,"46.9529,-122.9341","46.954166,-122.935344",0.105
Pilot TC #35                  ,      No,    No,0,515998,IN739                                                  ,6424 West Brick Road          ,South Bend     ,IN,46628,I0080  ,72,       ,    ,3.159,8/16/2019,1.849,0.029,0.5,0.244,2.622,0.537,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.7369,86.3385, NOT FOUND, False,6486 Brick Road  (US-31 Business),South Bend,IN,46628,"41.7369,-86.3385","41.736021,-86.336832",0.105
Pilot TC #416                 ,      No,    No,0,516274,GA188                                                  ,2201 East 16th Ave            ,Cordele        ,GA,31015,U0280  ,    ,I0075  ,101,2.979,8/16/2019,1.8887,0.037,0.396,0.244,2.5657,0.413,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.959,83.7456, NOT FOUND, False,"2301 16th Avenue East  (US-280, GA-30)",Cordele,GA,31015,"31.959,-83.7456","31.960264,-83.74661",0.105
Pilot TC #77                  ,      No,    No,0,516033,MS858                                                  ,2520 S Gallatin St            ,Jackson        ,MS,39204,I0020  ,45,I0055  ,45,2.899,8/16/2019,1.9156,0.0416,0.184,0.244,2.3852,0.514,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.2743,90.193, NOT FOUND, False,South Gallatin Street,Jackson,MS,39204,"32.2743,-90.193","32.273128,-90.191843",0.105
Flying J #724                 ,      No,    No,0,231018,XT414                                                  ,3001 Mountain Pass Blvd       ,Anthony        ,TX,79821,I0010  ,0,       ,    ,3.039,8/16/2019,2.0821,0.0123,0.2009,0.244,2.5393,0.5,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.9975,106.5806, @Flying J #724, True,Mountain Pass Boulevard,Anthony,TX,79821,"31.9975,-106.5806","31.996876,-106.578981",0.104
Love's #289                   ,      No,    No,0,516581,LA793                                                  ,13510 Industrial Dr           ,Minden         ,LA,71055,I0020  ,49,       ,    ,2.829,8/16/2019,1.8954,0.0426,0.2013,0.244,2.3833,0.446,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.5829,93.2509, @Love's #289, True,13501 Industrial Drive,Minden,LA,71055,"32.5829,-93.2509","32.582133,-93.249355",0.104
Love's #610                   ,      No,    No,0,522283,TE186                                                  ,1333 US Hwy 283 N             ,Baird          ,TX,79504,I0020  ,307,       ,    ,2.749,8/16/2019,1.9973,0.026,0.2007,0.244,2.468,0.281,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.4024,99.3855, NOT FOUND, False,I-20 Service West,Baird,TX,79504,"32.4024,-99.3855","32.403054,-99.383887",0.104
Love's #332                   ,      No,    No,0,516619,OH431                                                  ,10145 Avon Lake Rd            ,Burbank        ,OH,44214,       ,    ,I0071  ,204,3.049,8/16/2019,1.8653,0.0334,0.4822,0.244,2.6249,0.424,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.996,81.9962, NOT FOUND, False,10133 Avon Lake Road  (OH-83),Burbank,OH,44214,"40.996,-81.9962","40.996562,-81.994374",0.103
Pilot TC #497                 ,      No,    No,0,516320,AL237                                                  ,121 Honda Dr                  ,Lincoln        ,AL,35096,I0020  ,165,       ,    ,2.899,8/16/2019,1.8615,0.0485,0.2275,0.244,2.3815,0.517,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,33.5936,86.1609, NOT FOUND, False,12493 Stemley Road  (Route 207),Lincoln,AL,35096,"33.5936,-86.1609","33.593045,-86.159239",0.103
Flying J #636                 ,      No,    No,0,231058,IA222                                                  ,8200 Nw Blvd                  ,Davenport      ,IA,52806,I0080  ,292,       ,    ,3.099,8/16/2019,1.8872,0.0351,0.325,0.244,2.4913,0.608,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.6034,90.624, NOT FOUND, False,8130 Northwest Boulevard  (IA-130),Davenport,IA,52806,"41.6034,-90.624","41.602709,-90.625746",0.102
Flying J #704                 ,      No,    No,0,231803,OK228                                                  ,4801 NE 122nd St              ,Oklahoma City  ,OK,73114,I0044  ,137,I0035  ,137,2.699,8/16/2019,1.8516,0.0343,0.2,0.244,2.3299,0.369,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.5947,97.436, NOT FOUND, False,4801 Northeast 122nd Street,Edmond,OK,73013,"35.5947,-97.436","35.596084,-97.436637",0.102
Flying J #777                 ,      No,    No,0,410380,ID460                                                  ,3353 S Federal Way            ,Boise          ,ID,83705,I0084  ,54,       ,    ,3.259,8/16/2019,1.9386,0.0286,0.33,0.244,2.5412,0.718,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,43.5713,116.1875, NOT FOUND, False,3293 South Federal Way,Boise,ID,83705,"43.5713,-116.1875","43.571646,-116.189476",0.102
Love's #401                   ,      No,    No,0,516832,XT347                                                  ,1703 East Fwy                 ,Baytown        ,TX,77521,I0010  ,789,       ,    ,2.799,8/16/2019,1.8856,0.0217,0.2007,0.244,2.352,0.447,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,29.7974,95.0338, NOT FOUND, False,1701 East Freeway  (I-10 Service West),Baytown,TX,77521,"29.7974,-95.0338","29.798681,-95.03296",0.102
Pilot TC #134                 ,      No,    No,0,516064,MN142                                                  ,4231 Clearwater Rd            ,Saint Cloud    ,MN,56301,I0094  ,171,       ,    ,2.849,8/16/2019,1.9687,0.0638,0.306,0.244,2.5825,0.267,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,45.4948,94.1479, @Schmidty's BK, True,4311 Clearwater Road,Saint Cloud,MN,56301,"45.4948,-94.1479","45.496045,-94.149032",0.102
Love's #318                   ,      No,    No,0,516605,IL456                                                  ,202 North Ave.                ,Ina            ,IL,62846,       ,    ,I0057  ,83,3.149,8/16/2019,1.8453,0.0487,0.6111,0.244,2.7491,0.4,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.1548,88.9096, @Love's #318, True,101 North Avenue  (Route 42),Ina,IL,62846,"38.1548,-88.9096","38.155801,-88.910968",0.101
Love's #380                   ,      No,    No,0,517516,XT410                                                  ,4800 E Highway 114            ,Rhome          ,TX,76078,       ,    ,U0287  ,    ,2.739,8/16/2019,1.9001,0.053,0.2007,0.244,2.3978,0.341,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,33.0577,97.4828, NOT FOUND, False,4798 TX-114,Rhome,TX,76078,"33.0577,-97.4828","33.056593,-97.483939",0.101
Love's #648                   ,      No,    No,0,522953,OK949                                                  ,701 West Wilson Ave           ,Valliant       ,OK,74764,U0070  ,    ,       ,    ,2.699,8/16/2019,1.8438,0.08,0.2,0.244,2.3678,0.331,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.0034,95.1015, NOT FOUND, False,US-70,Valliant,OK,74764,"34.0034,-95.1015","34.004867,-95.101478",0.101
