Name,Disabled,Locked,Fuel Incentive,Location ID,Card IDs,Address,City,ST,Postal Code,EW Hwy,EW Exit,NS Hwy,NS Exit,Retail Price,Retail Date,Rack Price,Freight,State Tax,Fed Tax,Est Cost,Spread,OOR Range,OOR Fill,Min Pur,Min Pur Type,Stop Type,Swap Type,Rack ID,Latitude,Longitude,Trimble_POI_Name,Contain,Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode,Heartland,TM,Delta Between Trimble MAPS POI and Heartland Coordinates
Pilot TC #8616                ,      No,    No,0,519008,TX220                                                  ,State Hwy 115 and Mustang Driv,Andrews        ,TX,79714,       ,    ,S0115  ,    ,3.059,8/15/2019,2.0957,0.0603,0.2009,0.244,2.6009,0.458,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.3135,102.5673, NOT FOUND, False,101 Northwest Mustang Drive,Andrews,TX,79714,"32.3135,-102.5673","32.641911,-96.779346",337.856
Pilot TC #8630                ,      No,    No,0,521980,TE150                                                  ,N 2nd St and E Truck Rt       ,Crane          ,TX,79731,       ,    ,U0385  ,    ,3.059,8/15/2019,2.0957,0.0343,0.2009,0.244,2.5749,0.484,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.4061,102.349, NOT FOUND, False,North 2nd Street,Crane,TX,79731,"31.4061,-102.349","32.641911,-96.779346",336.978
Pilot TC #8624                ,      No,    No,0,519053,TX906                                                  ,3479 West 42nd Street         ,Odessa         ,TX,79764,I0020  ,113,       ,    ,3.059,8/16/2019,2.072,0.0465,0.2009,0.244,2.5634,0.496,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.8734,102.4254, NOT FOUND, False,3801 West 42nd Street,Odessa,TX,79764,"31.8734,-102.4254","32.641911,-96.779346",333.873
Flying J #982                 ,      No,    No,0,231916,XT402                                                  ,7500 W Highway 80             ,Midland        ,TX,79706,I0020  ,131,       ,    ,2.959,8/16/2019,2.072,0.0244,0.2009,0.244,2.5413,0.418,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.9437,102.1766, NOT FOUND, False,West Highway 80  (I-20),Midland,TX,79706,"31.9437,-102.1766","33.901105,-96.95438",331.417
Pilot TC #8625                ,      No,    No,0,521103,TE062                                                  ,715 S Grandview Ave           ,Odessa         ,TX,79761,I0020  ,118,       ,    ,3.059,8/15/2019,2.0957,0.0465,0.2009,0.244,2.5871,0.472,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.8454,102.3406, @Pilot Thomas Cardlock #8625, True,795 South Grandview Avenue,Odessa,TX,79761,"31.8454,-102.3406","32.641911,-96.779346",329.353
Flying J #983                 ,      No,    No,0,231932,TX403                                                  ,1109 S Fairgrounds Rd         ,Midland        ,TX,79701,I0020  ,138,       ,    ,2.959,8/16/2019,2.072,0.025,0.2009,0.244,2.5419,0.417,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.9918,102.0444, NOT FOUND, False,East County Road 101,Midland,TX,79706,"31.9918,-102.0444","33.901019,-96.954316",322.999
Pilot TC #1145                ,      No,    No,0,529408,529408,Tx-191                        ,Midland        ,TX,79707,       ,    ,S0191  ,    ,2.899,8/16/2019,2.072,0.0455,0.2009,0.244,2.5624,0.337,0,No  ,0,       ,Retail  ,         ,    ,31.9964,102.1605, NOT FOUND, False,TX-158 Business,Midland,TX,79706,"31.9964,-102.1605","32.641911,-96.779346",317.103
Pilot TC #888                 ,      No,    No,0,520438,TX442                                                  ,2901 W Hwy 86                 ,Tulia          ,TX,79088,S0086  ,    ,I0027  ,74,2.899,8/16/2019,1.9494,0.0345,0.2009,0.244,2.4288,0.47,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.5288,101.7972, @Pilot Dealer #888, True,2901 TX-86,Tulia,TX,79088,"34.5288,-101.7972","32.641911,-96.779346",316.617
Pilot TC #1                   ,      No,    No,0,515975,PA894                                                  ,5868 Nittany Valley Dr        ,Mill Hall      ,PA,17751,I0080  ,173,       ,    ,3.559,8/16/2019,1.8803,0.0488,0.741,0.244,2.9141,0.645,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.0343,77.5166, @Pilot Travel Center #1, True,5855 Nittany Valley Drive  (PA-64),Mill Hall,PA,17751,"41.0343,-77.5166","41.724105,-83.50768",313.959
Pilot TC #8621                ,      No,    No,0,519013,TX850                                                  ,3015 Garden City Hwy          ,Midland        ,TX,79701,I0020  ,138,       ,    ,2.959,8/16/2019,2.072,0.0511,0.2009,0.244,2.568,0.391,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.9843,102.0429, NOT FOUND, False,3092 Garden City Highway  (TX-140),Midland,TX,79701,"31.9843,-102.0429","32.641911,-96.779346",310.454
Pilot TC #8637                ,      No,    No,0,522255,TE229                                                  ,1902 Avenue E                 ,Ozona          ,TX,76943,I0010  ,365,S0163  ,    ,2.959,8/15/2019,2.0957,0.1249,0.2009,0.244,2.6655,0.293,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.7011,101.2064, NOT FOUND, False,1818 Walnut Street,Ozona,TX,76943,"30.7011,-101.2064","32.641911,-96.779346",292.597
Flying J #513                 ,      No,    No,0,519631,NV508                                                  ,115 West Primm Boulevard      ,Primm          ,NV,89019,       ,    ,I0015  ,1,3.339,8/16/2019,2.035,0.0415,0.4119,0.244,2.7324,0.607,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.6095,115.391, @Flying J US Dealer #513, True,Las Vegas Freeway  (I-15),Sloan,NV,89054,"35.6095,-115.391","38.790894,-112.076602",285.401
Pilot TC #8628                ,      No,    No,0,521933,TE141                                                  ,2807 N US Hwy 87              ,Big Spring     ,TX,79720,       ,    ,U0087  ,    ,3.059,8/15/2019,2.012,0.0244,0.2009,0.244,2.4813,0.578,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.1928,101.4801, NOT FOUND, False,4974 Parkway Road,Big Spring,TX,79720,"32.1928,-101.4801","32.641911,-96.779346",275.718
Pilot TC #8638                ,      No,    No,0,522256,TE221                                                  ,604 S US 277                  ,Sonora         ,TX,76950,I0010  ,400,U0277  ,    ,2.959,8/15/2019,2.0957,0.1586,0.2009,0.244,2.6992,0.26,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,30.5555,100.6509, NOT FOUND, False,1169 US-277,Sonora,TX,76950,"30.5555,-100.6509","32.641911,-96.779346",269.4
Pilot TC #506                 ,      No,    No,0,521505,OK248                                                  ,106 S 42nd St                 ,Enid           ,OK,73701,U0412  ,    ,       ,    ,2.759,8/16/2019,1.8544,0.0249,0.2,0.244,2.3233,0.436,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.3973,97.8189, NOT FOUND, False,South 42nd Street,Enid,OK,73701,"36.3973,-97.8189","32.641911,-96.779346",265.951
Pilot TC #887                 ,      No,    No,0,520766,TX389                                                  ,84 US 180                     ,Snyder         ,TX,79549,U0084  ,    ,       ,    ,2.799,8/16/2019,1.9144,0.0556,0.2009,0.244,2.4149,0.384,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.7049,100.8656, @Pilot Dealer #887, True,1100 US-180,Snyder,TX,79549,"32.7049,-100.8656","32.641911,-96.779346",237.522
Pilot TC #1025                ,      No,    No,0,522747,TE255                                                  ,102 South Sheldon Road        ,Channelview    ,TX,77530,I0010  ,783,       ,    ,2.859,8/16/2019,1.8856,0.0277,0.2009,0.244,2.3582,0.501,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,29.7722,95.1247, NOT FOUND, False,111 Sheldon Road,Channelview,TX,77530,"29.7722,-95.1247","32.641911,-96.779346",220.919
Pilot TC #556                 ,      No,    No,0,518184,OK577                                                  ,7501 S Choctaw Rd             ,Choctaw        ,OK,73020,I0040  ,166,       ,    ,2.859,8/16/2019,1.8516,0.041,0.2,0.244,2.3366,0.522,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.3908,97.2662, @Pilot Dealer #556, True,7413 South Choctaw Road,Choctaw,OK,73020,"35.3908,-97.2662","32.641911,-96.779346",191.835
Love's #714                   ,      No,    No,0,528877,NC007                                                  ,2603 Sam Wilson Road          ,Charlotte      ,NC,28214,       ,    ,I0085  ,29,2.679,8/16/2019,1.8634,0.0342,0.3645,0.244,2.5061,0.173,0,No  ,0,       ,Retail  ,         ,    ,35.2563,80.9811, NOT FOUND, False,2627 Sam Wilson Road  (Route 1625),Charlotte,NC,28214,"35.2563,-80.9811","34.247663,-77.942672",185.898
Pilot TC #2                   ,      No,    No,0,515976,OH756                                                  ,2446 Oh-45                    ,Austinburg     ,OH,44010,I0090  ,223,S0045  ,    ,3.259,8/16/2019,1.8497,0.0503,0.4822,0.244,2.6262,0.633,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.7892,80.855, @Flying J #694, True,2299 Center Road  (OH-45),Austinburg,OH,44010,"41.7892,-80.855","42.301749,-83.876931",158.93
Pilot TC #106                 ,      No,    No,0,516050,TN641                                                  ,5216 Middlebrook Pike         ,Knoxville      ,TN,37921,I0640  ,1,       ,    ,2.899,8/16/2019,1.8667,0.0231,0.284,0.244,2.4178,0.481,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.9569,83.9994, NOT FOUND, False,5192 South Middlebrook Pike  (TN-169),Knoxville,TN,37921,"35.9569,-83.9994","35.642775,-82.039872",111.857
Pilot TC #8642                ,      No,    No,0,522257,TE241                                                  ,1915 State Hwy 135 N          ,Kilgore        ,TX,75662,       ,    ,S0135  ,    ,2.959,8/15/2019,1.9668,0.0257,0.2009,0.244,2.4374,0.522,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.398,94.899, NOT FOUND, False,Hillside Street,Kilgore,TX,75662,"32.398,-94.899","32.641911,-96.779346",110.761
Pilot TC #883                 ,      No,    No,0,519436,TX373                                                  ,9800 Interstate 20            ,Canton         ,TX,75103,I0020  ,533,       ,    ,2.739,8/16/2019,1.9396,0.0303,0.2009,0.244,2.4148,0.324,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.5431,95.7556, @The Pantry #883, True,I-20 Service West,Canton,TX,75103,"32.5431,-95.7556","32.641911,-96.779346",59.944
Flying J #509                 ,      No,    No,0,231930,UT224                                                  ,653 West 1400 St. N           ,Beaver         ,UT,84713,       ,    ,I0015  ,112,3.059,8/16/2019,2.035,0.1201,0.3065,0.244,2.7056,0.353,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.2936,112.6503, NOT FOUND, False,"UT-160, I-15 Business",Beaver,UT,84713,"38.2936,-112.6503","38.790898,-112.076594",46.249
Flying J #510                 ,      No,    No,0,231947,UT225                                                  ,810 North 800 West            ,Scipio         ,UT,84656,       ,    ,I0015  ,188,3.059,8/16/2019,2.09,0.0892,0.3065,0.244,2.7297,0.329,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.2516,112.104, NOT FOUND, False,West 400 North Street  (US-50),Fillmore,UT,84631,"39.2516,-112.104","38.790897,-112.076596",31.844
Pilot TC #589                 ,      No,    No,0,518624,ND590                                                  ,13553 Hwy 2                   ,Williston      ,ND,58801,U0002  ,    ,       ,    ,3.099,8/16/2019,1.8559,0.1673,0.2303,0.244,2.4975,0.602,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,48.1347,103.7851, NOT FOUND, False,14344 50th Street Northwest  (US-2),Williston,ND,58801,"48.1347,-103.7851","48.343998,-103.61629",16.404
Love's #653                   ,      No,    No,0,524157,CO350                                                  ,601 Hwy 287                   ,Eads           ,CO,81036,       ,    ,U0287  ,    ,2.949,8/16/2019,1.8761,0.0808,0.2144,0.244,2.4153,0.534,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.2726,102.7229, NOT FOUND, False,505 US-287,Wiley,CO,81092,"38.2726,-102.7229","38.488267,-102.784632",15.261
Love's #201                   ,      No,    No,0,516505,OK150                                                  ,2703 E Highway 66             ,Elk City       ,OK,73644,I0040  ,41,       ,    ,2.889,8/16/2019,1.8516,0.0758,0.2,0.244,2.3714,0.518,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.3202,99.5173, NOT FOUND, False,E1170 Road,Elk City,OK,73644,"35.3202,-99.5173","35.422875,-99.372112",10.82
Love's #709                   ,      No,    No,0,527269,TE549                                                  ,5614 County Rd 59             ,Lufkin         ,TX,75904,       ,    ,U0059  ,    ,2.849,8/16/2019,1.8917,0.059,0.2007,0.244,2.3954,0.454,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.2696,94.752, NOT FOUND, False,5565 Daniel McCall Drive,Lufkin,TX,75904,"31.2696,-94.752","31.411663,-94.71877",10.003
Pilot TC #206                 ,      No,    No,0,516103,XT943                                                  ,1201 I-20 West                ,Weatherford    ,TX,76087,I0020  ,406,       ,    ,2.699,8/16/2019,1.9001,0.0455,0.2009,0.244,2.3905,0.309,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.7443,97.6637, NOT FOUND, False,I-20 Service West,Weatherford,TX,76087,"32.7443,-97.6637","32.727247,-97.825168",9.452
