Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
"17681 North Dorman Road  (TX-62, TX-73)",Orange,TX,77630
10 Market Square,Napanee,ON,K7R 1N3
US-59,Queen City,TX,75572
South Mountain Road,Tucumcari,NM,88401
7423 Augusta Road  (GA-21),Port Wentworth,GA,31407
Homerun Boulevard,Davenport,FL,33837
South Johnson Street,Hawthorne,FL,32640
TX-16,Calliham,TX,78007
MO-80,Matthews,MO,63867
3663 Harford Road  (PA-848),New Milford,PA,18834
803 Lobdell Highway  (LA-415),Port Allen,LA,70767
901 Sheb Wooley,Erick,OK,73645
2761 Salt Springs Road,Youngstown,OH,44509
1961 FL-71,Marianna,FL,32448
South 13th Street  (Business MO-13),Collins,MO,64738
6514 Longstreet Road West,Willis,TX,77318
332 East Third Street  (PA-339),Mifflinville,PA,18631
684 Lindy Lane,Kingsland,GA,31548
201 South Thompson Avenue  (LA-383),Iowa,LA,70647
Avenue G,Huntsville,TX,77320
18592 OK-9,Norman,OK,73072
502 East South Street,Lebanon,IN,46052
West Cumberland Gap Parkway  (US-25 E),Corbin,KY,40701
1076 Frank C Amerson Jr Parkway,Macon,GA,31216
135 West Main Street  (NV-427),Fernley,NV,89408
1237 Court Street  (NY-298),Syracuse,NY,13208
315 Scissortail Road  (East 2150),Calera,OK,74730
5046 US-93,Jerome,ID,83338
2764 East Randolph Avenue,Enid,OK,73701
203 Cresson Street,Natalia,TX,78059
34 Atlantic Avenue,Waco,GA,30182
"Memorial Blue Star Highway  (US-90, FL-10)",Midway,FL,32343
519 West Commerce Street  (US-79),Buffalo,TX,75831
850 East Blue Lick Road,Shepherdsville,KY,40165
400 State Street  (IL-140),Hamel,IL,62046
1744 IN-49,Valparaiso,IN,46383
2119 SC-38,Latta,SC,29565
3596 Owingsville Road  (US-60),Mount Sterling,KY,40353
446 Nicklesville Road Northeast  (GA-136),Resaca,GA,30735
116 Steward Lane,Fairfield,TX,75840
Leary Road  (FM Route 2253),Texarkana,TX,75503
1714 Buck Creek Road  (KY-1848),Simpsonville,KY,40067
New Castle Road  (US-422),Portersville,PA,16051
Massey,Palestine,AR,72372
Meteor Crater Road,Odessa,TX,79763
Jim Sharp Boulevard  (TX-302),Kermit,TX,79745
"974 East Motel Drive  (US-70, I-10 Business)",Lordsburg,NM,88045
"24068 US-27, FL-25",Moore Haven,FL,33471
West Clay Street  (H Route 33),Osceola,IA,50213
"2492 Charleston Highway  (US-21, US-176, US-321)",Cayce,SC,29033
Rich Highway  (US-219),Du Bois,PA,15801
FM Route 1488,Hempstead,TX,77445
389 Pope Street,Lebanon Junction,KY,40150
759 US-80,Jackson,MS,39201
2688 Williamsburg Pike  (IN-38),Richmond,IN,47374
"5727 US-71, AR-282",Alma,AR,72921
8968 Old 81,Troy,TX,76579
East Service Road,West Memphis,AR,72301
13613 North Frontage Road  (I-40 Service West),Albuquerque,NM,87121
"3413 Will Rogers Drive  (US-54, US-84, I-40 Business)",Santa Rosa,NM,88435
Pvt Road,Von Ormy,TX,78073
1991 West Mound Road  (Route 22),Decatur,IL,62526
2070 Whitesville Street  (GA-219),LaGrange,GA,30240
"102 South Woody Guthrie Street  (US-62, OK-27)",Okemah,OK,74859
4260 MO-43,Joplin,MO,64804
US-136,Wayland,MO,63472
2291 Route 255,Lee,FL,32059
88 NJ-173,Hampton,NJ,08827
Chase Road,Chanute,KS,66720
1753 South New Road,Waco,TX,76711
6023 South Business Drive  (Route OK),Sheboygan,WI,53081
"31674 Memorial Blue Star Highway  (US-90, FL-10)",Midway,FL,32343
Circle  (VA-106),New Kent,VA,23124
1244 Waddy Road  (KY-395),Waddy,KY,40076
"177 Bear River Drive  (US-189 Business, I-80 Business)",Evanston,WY,82930
I-70,Colby,KS,67701
2884 Lenwood Road,Barstow,CA,92311
33952 385th Street  (M Route 16),Shelby,IA,51570
1725 North Grand Avenue  (I-25 Business),Las Vegas,NM,87701
Stagecoach Drive,Rock Springs,WY,82901
"974 East Motel Drive  (US-70, I-10 Business)",Lordsburg,NM,88045
7000 Northwest 47th Avenue,Ocala,FL,34482
Hob Nob Road,Russellville,AR,72802
Kelly Road,Wamsutter,WY,82336
East Elm Street,Marston,MO,63866
"1970 Highway 70 East  (US-70, US-412, TN-1)",Jackson,TN,38305
8148 North Magnolia Street,Loxley,AL,36551
20999 US-41,Haubstadt,IN,47639
62694 Flood Hope Road,Hope,BC,V0X 1L2
Division Street  (IL-47),Morris,IL,60450
1680 US-49,Magee,MS,39111
I-35,Hewitt,TX,76643
911 West Gentry Avenue  (US-266),Checotah,OK,74426
6644 Old Tuscaloosa Highway  (Route 20),Mc Calla,AL,35111
4711 Buffalo Creek Road,Elm Creek,NE,68836
Singing Hills Boulevard,Sioux City,IA,51106
1133 North Warpole Street  (OH-199),Upper Sandusky,OH,43351
5809 North Rhett Avenue,Hanahan,SC,29410
"9211 US-321, TN-73, TN-95",Lenoir City,TN,37771
4914 North 350 East  (Route 350 East),Whiteland,IN,46184
794 US-80,Jackson,MS,39201
"286 US-54, US-64",Hooker,OK,73945
Lyle Rymer Highway  (US-64),Roland,OK,74954
Stocktrail Road,Cokeville,WY,83114
1900 Barnes Street,Reidsville,NC,27320
KY-92,Williamsburg,KY,40769
480 East Main Street  (NC-211),Candor,NC,27229
3980 South Main Street  (US-31 W),Franklin,KY,42134
West Street  (LA-3063),Vinton,LA,70668
"759 Crescent Street  (US-24, US-45)",Gilman,IL,60938
61726 Southgate Road  (OH-209),Cambridge,OH,43725
1010 East Booth Road  (AR-367),Searcy,AR,72143
11837 South NE-11,Wood River,NE,68883
1440 Route 9,Galesburg,IL,61401
West Overland Drive,Idaho Falls,ID,83402
Southwest Frontage Road,Winona,MS,38967
3086 220th Street  (Route D25),Williams,IA,50271
16624 West Fountain Road,Tonkawa,OK,74653
I-30 Service East,Mount Vernon,TX,75457
1419 Thornton Road,Pacific,MO,63069
684 WI-82,Mauston,WI,53948
8109 Smith Road,Beaumont,TX,77705
LA-29,Bunkie,LA,71322
Union Grove Road,Niota,TN,37826
498 Mashapaug Road  (Route 15),Sturbridge,MA,01566
1205 North Plainview Road,Ardmore,OK,73401
460 Glendale Hodgenville Road  (KY-222),Glendale,KY,42740
701 Hospital Road,Brush,CO,80723
"Columbia River Highway  (I-84, US-30)",Boardman,OR,97818
16552 US-45,Effingham,IL,62401
200 South Lawanda Avenue,Atoka,OK,74525
Villa Terrace,Hagerstown,MD,21742
1311 Waddy Road  (KY-395),Waddy,KY,40076
5101 South Cedar Street  (US-285),Pecos,TX,79772
"1529 South Medford Drive  (US-59, US-69, TX-287 Loop)",Lufkin,TX,75901
2679 McCullough Boulevard  (MS-178),Belden,MS,38826
3485 US-20,Angola,IN,46703
US-65,Tallulah,LA,71282
15315 Memphis Bluelick Road,Memphis,IN,47143
7413 South Choctaw Road,Choctaw,OK,73020
Avenue F Northwest  (US-287),Childress,TX,79201
15551 11 Mile Road,Battle Creek,MI,49014
4403 South Leonard Road,Saint Joseph,MO,64503
741 MS-35,Batesville,MS,38606
200 Northwoods Boulevard,Vandalia,OH,45377
"US-84, AL-12",Evergreen,AL,36401
Factory Outlet Drive,Max Meadows,VA,24360
1896 East Platteville Boulevard,Pueblo,CO,81008
1526 Dean Forest Road  (GA-307),Savannah,GA,31408
CO-52,Hudson,CO,80642
60th Avenue  (Route Y40),Walcott,IA,52773
1764 Nadeau Road,Monroe,MI,48162
3710 Trent Road,Blytheville,AR,72315
5330 IN-3,New Castle,IN,47362
2131 Umatilla-Stanfield Highway  (US-395),Stanfield,OR,97875
I-15,Springville,UT,84663
2992 North Williston Road  (SC-327),Florence,SC,29506
7411 Walnut Street  (FM Route 1161),Hungerford,TX,77448
Enterprise Road,Bloomsdale,MO,63627
3670 Roy Messer Highway  (TN-341),White Pine,TN,37890
"I-155, US-412",Dyersburg,TN,38024
"1919 US-18, Business I-35",Clear Lake,IA,50428
1877 SC-34,Dillon,SC,29536
6212 West Manhattan Monee Road  (Route 6),Monee,IL,60449
West Deyoung Street  (IL-13),Marion,IL,62959
3901 South Highway 30  (US-30),Heyburn,ID,83336
MO-C,Bevier,MO,63532
1570 East Wyandot Avenue  (Old US-30),Upper Sandusky,OH,43351
591 Bettis Academy Road  (Route 144),Graniteville,SC,29829
US-54,Texhoma,OK,73949
6800 Old 27  (North Old US-27),Fremont,IN,46737
192 NJ-17,Mahwah,NJ,07430
Lower River Road Northwest  (TN-308),Charleston,TN,37310
1144 East Merrill Exd Road,McCammon,ID,83250
388 West Rolling Meadows Drive  (Route VVV),Fond du Lac,WI,54937
US-31,Rochester,IN,46975
1988 Northwest 13th Street,Ontario,OR,97914
NE-2,Syracuse,NE,68446
Cassville White Road Northwest,Cartersville,GA,30121
"US-22, US-322",Duncannon,PA,17020
1612 Church Street,Scott City,KS,67871
I-70,Burlington,CO,80807
Hennings,Sikeston,MO,63801
8799 UT-36,Tooele,UT,84074
1086 Airport Fernwood Road,McComb,MS,39648
3144 Chestnut Ridge Road  (US-219),Grantsville,MD,21536
2096 South Edwin C Moses Boulevard,Dayton,OH,45417
I-10,Gulfport,MS,39503
4826 Bellemont Camp Road,Parks,AZ,86018
Halfway Boulevard,Hagerstown,MD,21740
"1052 Charlotte Highway  (US-21, NC-115)",Troutman,NC,28166
1605 West Airline Road,Pauls Valley,OK,73075
3821 Zoo Parkway  (FL-105),Jacksonville,FL,32226
St Marys Road,Saint Marys,GA,31558
11800 Greencastle Pike  (MD-63),Hagerstown,MD,21740
26471 South Brickplant Road,Harrisonville,MO,64701
1171 Lions Drive,Chesterton,IN,46304
Valentine Road  (AR-391),North Little Rock,AR,72117
287 Mocksville Highway  (US-64),Statesville,NC,28625
3020 East 8th Road  (Route 43),Utica,IL,61373
"348 5th Street  (I-90 Loop, SD-248, Old US-16)",Murdo,SD,57559
Pasadena Freeway  (TX-225),Deer Park,TX,77536
North Central Expressway  (US-75 Service North),Anna,TX,75409
Lyndon B Johnson Freeway  (I-20 Service East),Dallas,TX,75241
1341 Horizon Boulevard  (FM Route 1281),El Paso,TX,79927
"I-10, US-67",Fort Stockton,TX,79735
6302 IN-109,Knightstown,IN,46148
1846 North 9th Street  (North Old KS-81),Salina,KS,67401
349 Industrial Park Drive  (Route 181),Binghamton,NY,13904
252 South Dalton Bypass  (SouthWest GA-3 Connector),Dalton,GA,30720
"I-20, TX-349",Midland,TX,79706
2344 Millcreek Road  (Route 26),Sidney,OH,45365
8160 Campstool Road  (Route 209),Cheyenne,WY,82007
182 Pleasant Grove Road,Mc Donald,TN,37353
Route 1250 South,Haubstadt,IN,47639
Pennyrile Parkway  (I-69),Mortons Gap,KY,42440
"West Ashley Road  (US-40, MO-5)",Boonville,MO,65233
802 South Lakeside Drive  (TX-335 Loop),Amarillo,TX,79118
1087 North Mountain Street  (SC-198),Blacksburg,SC,29702
620 East Main Street  (WI-54),Black River Falls,WI,54615
23770 Rogers Clark Boulevard  (VA-207),Ruther Glen,VA,22546
108 Madison Street,Floyd,IA,50435
252 Allegheny Boulevard  (PA-36),Brookville,PA,15825
3683 Roy Messer Highway  (TN-341),White Pine,TN,37890
3634 North Valley Pike  (US-11),Harrisonburg,VA,22802
7091 Bellville Road,Lake Park,GA,31636
2697 East Gila Ridge Road,Yuma,AZ,85365
US-30,Plymouth,IN,46563
