Lat,Lon
42.6496,-114.4424
42.6603,-112.2062
47.7112,-117.0041
43.4368,-112.12
43.4399,-112.1157
43.5716,-116.1895
47.7115,-116.9976
39.9614,-89.5603
40.4858,-89.03
39.1347,-88.5619
42.1425,-88.5064
41.4804,-88.0791
38.534,-89.7322
41.4267,-87.7564
42.4568,-89.0092
41.387,-88.4229
38.6515,-90.1315
38.8905,-89.8345
40.1238,-87.7795
40.9189,-90.2927
39.2529,-88.1531
38.5762,-90.098
39.1334,-88.5663
41.3688,-89.0992
38.7602,-90.0645
42.4942,-88.9988
37.7403,-88.9642
41.6001,-87.5794
38.3361,-88.9553
42.48,-87.9469
40.4824,-89.0175
41.9036,-88.1226
39.1206,-88.5731
39.6895,-90.2298
38.1548,-88.9099
41.7541,-87.7991
41.9369,-89.0342
40.1305,-87.7775
41.6636,-87.7011
41.2941,-89.0858
41.3471,-88.1988
41.1807,-90.337
38.7316,-89.908
40.7507,-88.0021
41.4607,-88.273
38.874,-89.3884
41.3731,-89.0101
41.0729,-87.8668
39.1492,-88.5306
41.4279,-87.7568
40.1566,-89.4127
41.1129,-88.4124
41.9878,-87.9602
38.3131,-88.9614
39.8927,-89.0026
38.7323,-89.9086
41.8982,-89.0417
42.1457,-88.5149
40.3403,-88.758
41.4575,-88.1919
39.9074,-88.8947
41.3881,-88.4222
38.311,-88.9572
41.1421,-84.8492
40.2769,-86.1301
39.9922,-85.5551
41.5731,-87.4033
41.6346,-85.0505
39.3479,-87.3897
41.6659,-85.8882
38.9581,-85.8431
38.1749,-87.5526
39.6931,-86.1914
41.5864,-87.2382
39.5834,-85.8177
40.0323,-86.4735
41.2877,-87.2947
39.8512,-85.4125
39.5491,-86.0365
39.9492,-86.3589
41.1185,-85.1842
40.5531,-85.5778
40.5537,-85.5553
41.5732,-87.4021
41.5825,-87.24
41.6125,-87.0985
39.433,-87.3321
40.0461,-86.8205
38.1667,-87.5506
41.5678,-87.3631
39.5497,-86.0414
39.6976,-86.1851
40.7669,-87.1257
39.9923,-85.8436
42.6807,-83.1338
39.9797,-86.3972
39.9959,-85.8445
41.5639,-87.3559
41.1434,-87.2617
40.2766,-85.5522
41.0589,-84.9799
39.8803,-86.473
41.3623,-86.3492
39.6109,-86.4807
40.1229,-87.4503
39.4498,-85.6264
38.492,-85.7735
39.6154,-86.4773
39.8707,-84.9329
40.1127,-85.5659
41.744,-84.9992
41.5675,-87.4726
39.8213,-85.9167
40.7666,-87.1235
41.736,-86.3368
41.4485,-87.0104
39.5519,-86.0459
39.4492,-87.1261
41.7525,-84.9828
39.3182,-85.3282
39.4516,-87.1243
41.6047,-87.1147
40.1148,-85.5739
38.1748,-87.5486
41.2903,-87.2943
41.1435,-87.2618
41.342,-86.2643
38.2394,-86.3624
41.6069,-87.1069
38.4898,-85.7708
38.9332,-97.2582
39.1188,-100.8115
38.8742,-97.6101
37.7452,-99.9801
39.0908,-94.6829
38.8789,-97.6136
39.8646,-97.6367
37.6463,-95.4758
37.7524,-99.9807
38.4114,-96.2377
38.8786,-97.5928
38.3714,-97.6158
38.427,-95.7274
37.0448,-100.9008
37.6398,-98.4278
39.3618,-101.053
