Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB195     ,PETRO CANADA                  ,2515 50TH AVENUE SE           ,CALGARY        ,AB,T2B3  ,51.008,-113.9994, @Petro-Canada/BVD, True,,Calgary,AB,T2B 3R8,51.0086,-113.998889,1 - Exact,,0.3,,AB195     , NOT FOUND, False,
AB196     ,PETRO CANADA                  ,11128 88TH AVE                ,FORT SASKATCHEW,AB,T8L3K ,53.7063,-113.1963, @Petro-Canada, True,,Fort Saskatchewan,AB,T8L 3K8,53.706155,-113.196026,1 - Exact,,0.1,,AB196     , NOT FOUND, False,
AB197     ,PETRO CANADA                  ,283188 RANGE ROAD 293         ,CROSSFIELD     ,AB,T0M0  ,51.4138,-114.0005, @Petro-Canada, True,,Crossfield,AB,T0M 0S0,51.408023,-113.999869,1 - Exact,Input street name differs slightly from match,2.7,,AB197     , NOT FOUND, False,
AB198     ,PETROCANADA                   ,4426 RAILWAY AVE              ,CORONATION     ,AB,T0C1C ,52.0887,-111.4386, NOT FOUND, False,,Coronation,AB,T0C 1C0,52.088805,-111.438216,1 - Exact,,0,,AB198     , NOT FOUND, False,
AB199     ,FLYING J  868                 ,2194 SAAMIS DRIVE             ,MEDICINE HAT   ,AB,T1C4  ,50.0531,-110.7326, NOT FOUND, False,,Medicine Hat,AB,T1C 1W7,50.054342,-110.730919,1 - Exact,Input does not include a street name prefix/suffix but match does,3.2,,AB199     , NOT FOUND, False,
AB205     ,PETRO CANADA                  ,100 RIDGE ROAD                ,STRATHMORE     ,AB,T1P1B ,51.0383,-113.3894, @Petro-Canada, True,,Strathmore,AB,T1P 1B6,51.038639,-113.389865,1 - Exact,,0.1,,AB205     , NOT FOUND, False,
AB222     ,FLYING J 785                  ,11511 40ST S.E.               ,CALGARY        ,AB,T2H1L ,50.9489,-113.9794, @Flying J #785, True,,Calgary,AB,T2Z 4M8,50.947327,-113.977987,1 - Exact,Input street type differs from match,0.1,,AB222     , NOT FOUND, False,
AB224     ,FLYING J 786                  ,50 PEMBINA RD                 ,SHERWOOD PARK  ,AB,T8H2G ,53.5668,-113.3169, @Flying J #786, True,,Sherwood Park,AB,T8H 2G4,53.565955,-113.317663,1 - Exact,,0.1,,AB224     , NOT FOUND, False,
AB275     ,FLYING J 869                  ,2810 21ST AVE                 ,NANTON         ,AB,T0L1  ,50.3484,-113.7739, NOT FOUND, False,,Nanton,AB,T0L 1R0,50.341701,-113.766988,1 - Exact,,0.6,,AB275     , NOT FOUND, False,
AB336     ,FLYING J 792                  ,1260 CASSILS ROAD EAST        ,BROOKS         ,AB,T1R1B ,50.5728,-111.8675, @Flying J Fuel Stop #792, True,,Brooks,AB,T1R,50.572104,-111.868115,1 - Exact,,0.1,,AB336     , NOT FOUND, False,
