Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
AZ182     ,PETRO_ELOY 306                ,I-10 EXIT 200 @ SUNLAND GIN RD,ELOY           ,AZ,85231,32.8118,-111.6691,COMDATA   ,TA                                      , @Petro Fuel #306, True,South Sunland Gin Road,Eloy,AZ,85131
AZ189     ,TA_ELOY 007                   ,2949 S.TOLTEC RD.             ,ELOY           ,AZ,85231,32.7726,-111.6179,COMDATA   ,TA                                      , @TA-Eloy #7, True,3671 West Cowboy Trail,Eloy,AZ,85131
AZ200     ,PILOT 593                     ,5570 E. TRAVEL PLAZA WAY      ,TUCSON         ,AZ,85756,32.1257,-110.8737,COMDATA   ,Pilot                                   , @Pilot Travel Center #593, True,East Travel Plaza Way,Tucson,AZ,85756
AZ222     ,FLYING J 608                  ,BOX 801 I-10 EXIT 1 S FRONTAGE,EHRENBERG      ,AZ,85334,33.6021,-114.5235,COMDATA   ,Pilot                                   , @Flying J #608, True,14320 South Flying J Road,Ehrenberg,AZ,85334
AZ223     ,FLYING J 505                  ,108000 NORTH FRONTAGE ROAD    ,YUMA           ,AZ,85367,32.6735,-114.4449,COMDATA   ,Pilot                                   , @Flying J US Dealer #505, True,10866 South Fortuna Road,Yuma,AZ,85367
AZ224     ,FLYING J 610                  ,3300 E ANDY DEVINE AVE        ,KINGMAN        ,AZ,86401,35.22,-114.0069,COMDATA   ,Pilot                                   , @Flying J #610, True,3301 East Andy Devine Avenue  (AZ-66),Kingman,AZ,86401
AZ226     ,FLYING J 611                  ,6700 WEST LATHAM              ,PHOENIX        ,AZ,85043,33.4609,-112.2054,COMDATA   ,Pilot                                   , @Flying J #611, True,6792 West Latham Street,Phoenix,AZ,85043
AZ227     ,FLYING J 612                  ,400 TRANSCON LANE             ,WINSLOW        ,AZ,86047,35.016,-110.6741,COMDATA   ,Pilot                                   , @Flying J #612, True,Truck Access Road,Winslow,AZ,86047
AZ230     ,PILOT 328                     ,1201 W. MAIN STREET           ,QUARTZSITE     ,AZ,85359,33.6614,-114.2364,COMDATA   ,Pilot                                   , @Pilot Travel Center #328, True,"I-10, US-60, US-95",Quartzsite,AZ,85346
AZ269     ,LOVES 280                     ,1610 S. MILLER RD             ,BUCKEYE        ,AZ,85326,33.4313,-112.5921,COMDATA   ,Loves                                   , @Love's #280, True,1552 South Miller Road,Buckeye,AZ,85326
AZ277     ,LOVES 286                     ,760 S. QUARTZSITE BLVD.       ,QUARTZSITE     ,AZ,85346,33.6572,-114.2416,COMDATA   ,Loves                                   , @Love's #286, True,Acacia Road,Quartzsite,AZ,85346
AZ278     ,LOVES 278                     ,I-40 & EXIT 277/4703 MAIN ST. ,JOSEPH CITY    ,AZ,86032,34.9549,-110.3118,COMDATA   ,Loves                                   , @Love's #278, True,4691 Main Street  (Business I-40),Winslow,AZ,86047
